"ym","品目分類","市区町村コード","市","項目","value"
"201907","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",46
"201907","米","39201","高知市","支出金額_複数単位",1831
"201907","米","39201","高知市","購入頻度_100世帯当たり",71
"201908","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",1673
"201908","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",623
"201908","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",306
"201908","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",39
"201908","米","36201","徳島市","支出金額_複数単位",1383
"201908","米","36201","徳島市","購入頻度_100世帯当たり",67
"201908","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",1402
"201908","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",499
"201908","殺虫・防虫剤","37201","高松市","支出金額_複数単位",405
"201908","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",50
"201908","米","37201","高松市","支出金額_複数単位",1928
"201908","米","37201","高松市","購入頻度_100世帯当たり",58
"201908","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",1553
"201908","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",600
"201908","殺虫・防虫剤","38201","松山市","支出金額_複数単位",329
"201908","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",43
"201908","米","38201","松山市","支出金額_複数単位",736
"201908","米","38201","松山市","購入頻度_100世帯当たり",38
"201908","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",1676
"201908","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",622
"201908","殺虫・防虫剤","39201","高知市","支出金額_複数単位",348
"201908","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",51
"201908","米","39201","高知市","支出金額_複数単位",1525
"201908","米","39201","高知市","購入頻度_100世帯当たり",66
"201909","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",1152
"201909","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",464
"201909","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",242
"201909","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",36
"201909","米","36201","徳島市","支出金額_複数単位",3748
"201909","米","36201","徳島市","購入頻度_100世帯当たり",68
"201909","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",884
"201909","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",350
"201909","殺虫・防虫剤","37201","高松市","支出金額_複数単位",216
"201909","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",32
"201909","米","37201","高松市","支出金額_複数単位",1450
"201909","米","37201","高松市","購入頻度_100世帯当たり",57
"201909","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",930
"201909","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",380
"201909","殺虫・防虫剤","38201","松山市","支出金額_複数単位",382
"201909","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",52
"201909","米","38201","松山市","支出金額_複数単位",3945
"201909","米","38201","松山市","購入頻度_100世帯当たり",69
"201909","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",1359
"201909","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",497
"201909","殺虫・防虫剤","39201","高知市","支出金額_複数単位",184
"201909","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",28
"201909","米","39201","高知市","支出金額_複数単位",2102
"201909","米","39201","高知市","購入頻度_100世帯当たり",65
"201910","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",693
"201910","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",269
"201910","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",102
"201910","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",16
"201910","米","36201","徳島市","支出金額_複数単位",2058
"201910","米","36201","徳島市","購入頻度_100世帯当たり",44
"201910","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",659
"201910","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",237
"201910","殺虫・防虫剤","37201","高松市","支出金額_複数単位",230
"201910","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",27
"201910","米","37201","高松市","支出金額_複数単位",2654
"201910","米","37201","高松市","購入頻度_100世帯当たり",59
"201910","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",589
"201910","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",251
"201910","殺虫・防虫剤","38201","松山市","支出金額_複数単位",206
"201910","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",29
"201910","米","38201","松山市","支出金額_複数単位",2818
"201910","米","38201","松山市","購入頻度_100世帯当たり",53
"201910","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",1097
"201910","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",425
"201910","殺虫・防虫剤","39201","高知市","支出金額_複数単位",183
"201910","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",27
"201910","米","39201","高知市","支出金額_複数単位",1626
"201910","米","39201","高知市","購入頻度_100世帯当たり",77
"201911","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",506
"201911","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",201
"201911","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",130
"201911","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",16
"201911","米","36201","徳島市","支出金額_複数単位",990
"201911","米","36201","徳島市","購入頻度_100世帯当たり",42
"201911","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",355
"201911","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",147
"201911","殺虫・防虫剤","37201","高松市","支出金額_複数単位",32
"201911","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",5
"201911","米","37201","高松市","支出金額_複数単位",2125
"201911","米","37201","高松市","購入頻度_100世帯当たり",48
"201911","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",364
"201911","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",157
"201911","殺虫・防虫剤","38201","松山市","支出金額_複数単位",64
"201911","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",10
"201911","米","38201","松山市","支出金額_複数単位",1848
"201911","米","38201","松山市","購入頻度_100世帯当たり",55
"201911","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",705
"201911","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",265
"201911","殺虫・防虫剤","39201","高知市","支出金額_複数単位",88
"201911","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",11
"201911","米","39201","高知市","支出金額_複数単位",2253
"201911","米","39201","高知市","購入頻度_100世帯当たり",58
"201912","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",513
"201912","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",180
"201912","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",21
"201912","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",4
"201912","米","36201","徳島市","支出金額_複数単位",1478
"201912","米","36201","徳島市","購入頻度_100世帯当たり",62
"201912","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",403
"201912","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",147
"201912","殺虫・防虫剤","37201","高松市","支出金額_複数単位",8
"201912","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",2
"201912","米","37201","高松市","支出金額_複数単位",1549
"201912","米","37201","高松市","購入頻度_100世帯当たり",59
"201912","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",450
"201912","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",127
"201912","殺虫・防虫剤","38201","松山市","支出金額_複数単位",14
"201912","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",2
