ym,品目分類,市区町村コード,市,項目,value
202108,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,608
202108,米,38201,松山市,支出金額_複数単位,1331
202108,米,38201,松山市,購入頻度_100世帯当たり,62
202108,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,1401
202108,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,549
202108,米,39201,高知市,支出金額_複数単位,2320
202108,米,39201,高知市,購入頻度_100世帯当たり,79
202109,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,947
202109,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,346
202109,米,36201,徳島市,支出金額_複数単位,2320
202109,米,36201,徳島市,購入頻度_100世帯当たり,43
202109,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,950
202109,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,406
202109,米,37201,高松市,支出金額_複数単位,3528
202109,米,37201,高松市,購入頻度_100世帯当たり,67
202109,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,1276
202109,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,503
202109,米,38201,松山市,支出金額_複数単位,2416
202109,米,38201,松山市,購入頻度_100世帯当たり,72
202109,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,1231
202109,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,501
202109,米,39201,高知市,支出金額_複数単位,1678
202109,米,39201,高知市,購入頻度_100世帯当たり,67
202110,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,746
202110,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,285
202110,米,36201,徳島市,支出金額_複数単位,1786
202110,米,36201,徳島市,購入頻度_100世帯当たり,36
202110,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,690
202110,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,304
202110,米,37201,高松市,支出金額_複数単位,2359
202110,米,37201,高松市,購入頻度_100世帯当たり,50
202110,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,1006
202110,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,391
202110,米,38201,松山市,支出金額_複数単位,3214
202110,米,38201,松山市,購入頻度_100世帯当たり,64
202110,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,1002
202110,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,366
202110,米,39201,高知市,支出金額_複数単位,1763
202110,米,39201,高知市,購入頻度_100世帯当たり,70
202111,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,455
202111,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,185
202111,米,36201,徳島市,支出金額_複数単位,1103
202111,米,36201,徳島市,購入頻度_100世帯当たり,38
202111,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,563
202111,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,189
202111,米,37201,高松市,支出金額_複数単位,2050
202111,米,37201,高松市,購入頻度_100世帯当たり,46
202111,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,766
202111,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,270
202111,米,38201,松山市,支出金額_複数単位,1285
202111,米,38201,松山市,購入頻度_100世帯当たり,57
202111,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,782
202111,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,255
202111,米,39201,高知市,支出金額_複数単位,1806
202111,米,39201,高知市,購入頻度_100世帯当たり,71
202112,アイスクリーム・シャーベット,36201,徳島市,支出金額_複数単位,478
202112,アイスクリーム・シャーベット,36201,徳島市,購入頻度_100世帯当たり,159
202112,米,36201,徳島市,支出金額_複数単位,785
202112,米,36201,徳島市,購入頻度_100世帯当たり,32
202112,アイスクリーム・シャーベット,37201,高松市,支出金額_複数単位,711
202112,アイスクリーム・シャーベット,37201,高松市,購入頻度_100世帯当たり,214
202112,米,37201,高松市,支出金額_複数単位,1608
202112,米,37201,高松市,購入頻度_100世帯当たり,61
202112,アイスクリーム・シャーベット,38201,松山市,支出金額_複数単位,694
202112,アイスクリーム・シャーベット,38201,松山市,購入頻度_100世帯当たり,217
202112,米,38201,松山市,支出金額_複数単位,1357
202112,米,38201,松山市,購入頻度_100世帯当たり,58
202112,アイスクリーム・シャーベット,39201,高知市,支出金額_複数単位,611
202112,アイスクリーム・シャーベット,39201,高知市,購入頻度_100世帯当たり,217
202112,米,39201,高知市,支出金額_複数単位,1557
202112,米,39201,高知市,購入頻度_100世帯当たり,73
